Time,Start,Max,Min,End,Tot_trans,Mid,Difindex,Buyindex,PL
1543040220000,483251,483262,483021,483021,0.461,483141,-1,-1,1096
1543040280000,483021,483021,483000,483021,0.5796,483010,0,-1,1096
1543040340000,483018,483407,482868,483340,0.2863,483137,0,0,1096
1543040400000,483407,483407,483395,483395,0.02,483401,-1,-1,1096
1543040460000,483744,483785,483521,483785,0.05,483653,0,-1,1096
1543040520000,483775,483832,483775,483825,0.1859,483803,0,0,1096
1543040580000,483828,483828,483472,483801,1.5158,483650,-1,-1,1096
1543040640000,483800,483815,483361,483361,1.8728,483588,-1,-2,1096
1543040700000,483608,483608,483404,483404,0.02,483506,-1,-2,1096
1543040760000,483753,484438,483346,483751,0.744,483892,-1,-2,1096
1543040820000,483751,484234,483751,483967,0.5019,483992,0,-1,1096
1543040880000,484005,484300,484005,484300,0.054,484152,0,0,1096
1543040940000,484436,484445,484263,484445,0.018,484354,0,0,1096
1543041000000,484258,484435,484258,484435,0.0706,484346,0,0,1096
1543041060000,484445,484842,484435,484739,1.3679,484638,0,0,1096
1543041120000,484748,484761,484748,484760,1.0634,484754,0,0,1096
1543041180000,484761,485000,484726,485000,0.725,484863,0,0,1096
1543041240000,484587,484689,484577,484689,0.0403,484633,0,0,1096
1543041300000,484614,484624,484465,484624,0.2069,484544,0,0,1096
1543041360000,484480,484480,484156,484156,0.8962,484318,-1,-1,1096
1543041420000,484156,484156,484156,484156,0.0,484156,0,-1,1096
1543041480000,484100,484100,484100,484100,0.05,484100,0,0,1096
1543041540000,484000,484297,483039,484280,2.5209,483668,0,0,1096
1543041600000,483939,484362,483935,484236,0.0913,484148,0,0,1096
1543041660000,484236,484236,484236,484236,0.0,484236,0,0,1096
1543041720000,483919,483919,483823,483823,0.0443,483871,-1,-1,1096
1543041780000,483877,483902,483849,483849,0.1013,483875,-1,-2,1096
